02:02:07.604 [restartedMain] INFO  c.m.journalApp.JournalAppApplication - Starting JournalAppApplication using Java 21.0.4 with PID 7048 (C:\Users\swapn\Downloads\journalApp\journalApp\target\classes started by swapn in C:\Users\swapn\Downloads\journalApp\journalApp)
02:02:12.049 [restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
02:02:12.788 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
02:02:12.812 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/home'
02:02:12.825 [restartedMain] INFO  c.m.journalApp.JournalAppApplication - Started JournalAppApplication in 5.922 seconds (process running for 6.882)
02:02:58.078 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
02:02:58.084 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
02:03:11.580 [restartedMain] INFO  c.m.journalApp.JournalAppApplication - Starting JournalAppApplication using Java 21.0.4 with PID 11944 (C:\Users\swapn\Downloads\journalApp\journalApp\target\classes started by swapn in C:\Users\swapn\Downloads\journalApp\journalApp)
02:03:11.584 [restartedMain] INFO  c.m.journalApp.JournalAppApplication - The following 1 profile is active: "dev"
02:03:11.693 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
02:03:11.693 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
02:03:12.968 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
02:03:13.079 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 100 ms. Found 2 MongoDB repository interfaces.
02:03:14.095 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
02:03:14.114 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
02:03:14.118 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
02:03:14.118 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39]
02:03:14.183 [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/home] - Initializing Spring embedded WebApplicationContext
02:03:14.185 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2486 ms
02:03:14.603 [cluster-ClusterId{value='680e948a202c4a0f81ea052d', description='Cluster0'}-srv-cluster0.boxzzom.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-3nvaoyo-shard-00-00.boxzzom.mongodb.net:27017 to client view of cluster
